"","biddingZone_Domain.mRID","start_DateAndOrTime.date","start_DateAndOrTime.time","end_DateAndOrTime.date","end_DateAndOrTime.time","quantity_Measure_Unit.name","production_RegisteredResource.mRID","production_RegisteredResource.name","production_RegisteredResource.pSRType.powerSystemResources.mRID","production_RegisteredResource.pSRType.powerSystemResources.name","production_RegisteredResource.pSRType.powerSystemResources.nominalP","reas_c","quantity","reas_t","year","st.mon","st.d","end.mon","end.d","st.datetime","end.datetime","duration_days"
"882","10YDE-VE-------2",2017-11-13,"09:15:00",2017-11-13,"10:15:00","MAW","11WD8SCHK1L----O","Schkopau","11WD8SCHK1L---B0","Schkopau B","450","B18","260.5","Other","2017","11","13","11","13",2017-11-13 09:15:00,2017-11-13 10:15:00,0.0416666666666667
"883","10YDE-VE-------2",2018-08-09,"11:30:00",2018-08-09,"14:30:00","MAW","11WD8SCHK1L----O","Schkopau","11WD8SCHK1L---A2","Schkopau A","450","B20","308.8","External Factors","2018","08","09","08","09",2018-08-09 11:30:00,2018-08-09 14:30:00,0.125
"884","10YDE-VE-------2",2018-12-06,"16:00:00",2018-12-10,"01:00:00","MAW","11WD8WED15C----Q","HKW Wedel","11WD8WED15C---2K","HKW Wedel Block 2","116","B18","0",NA,"2018","12","06","12","10",2018-12-06 16:00:00,2018-12-10 01:00:00,3.375
"885","10YDE-VE-------2",2019-04-06,"15:00:00",2019-04-07,"03:00:00","MAW","11WD8KLIN5X----0","HKW Klingenberg","11WD8KLIN5G--13E","HKW Klingenberg 1-3","164","B18","51","Other","2019","04","06","04","07",2019-04-06 15:00:00,2019-04-07 03:00:00,0.5
"886","10YDE-VE-------2",2019-07-31,"22:15:00",2019-08-01,"22:00:00","MAW","11WD8KLIN5X----0","HKW Klingenberg","11WD8KLIN5G--13E","HKW Klingenberg 1-3","164","B18","18","Other","2019","07","31","08","01",2019-07-31 22:15:00,2019-08-01 22:00:00,0.989583333333333
"887","10YDE-VE-------2",2015-06-22,"15:45:00",2015-06-23,"02:00:00","MAW","11WD8MOOR1C----G","HKW Moorburg","11WD8MOOR1C---BT","HKW Moorburg Block B","800","B18","518",NA,"2015","06","22","06","23",2015-06-22 15:45:00,2015-06-23 02:00:00,0.427083333333333
"888","10YDE-VE-------2",2015-07-07,"16:00:00",2015-07-08,"02:00:00","MAW","11WD8SCHK1L----O","Schkopau","11WD8SCHK1L---A2","Schkopau A","450","B18","305","Other","2015","07","07","07","08",2015-07-07 16:00:00,2015-07-08 02:00:00,0.416666666666667
"889","10YDE-VE-------2",2015-07-21,"11:39:00",2015-07-21,"15:00:00","MAW","11WD8MOOR1C----G","HKW Moorburg","11WD8MOOR1C---BT","HKW Moorburg Block B","800","B18","614",NA,"2015","07","21","07","21",2015-07-21 11:39:00,2015-07-21 15:00:00,0.139583333333333
"890","10YDE-VE-------2",2015-08-11,"02:15:00",2015-08-11,"03:00:00","MAW","11WD8SCHK1L----O","Schkopau","11WD8SCHK1L---B0","Schkopau B","450","B18","300","Other","2015","08","11","08","11",2015-08-11 02:15:00,2015-08-11 03:00:00,0.03125
"891","10YDE-VE-------2",2015-08-27,"08:41:00",2015-08-27,"09:50:00","MAW","11WD8JAEN1L----Z","KW Jänschwalde","11WD8JAEN1L---C9","KW Jänschwalde Block C","500","B18","0",NA,"2015","08","27","08","27",2015-08-27 08:41:00,2015-08-27 09:50:00,0.0479166666666667
"892","10YDE-VE-------2",2015-09-04,"09:00:00",2015-09-04,"10:13:00","MAW","11WD8REUW1C----4","HKW Reuter West","11WD8REUW1C---EB","HKW Reuter West Block E","282","B18","0",NA,"2015","09","04","09","04",2015-09-04 09:00:00,2015-09-04 10:13:00,0.0506944444444444
"893","10YDE-VE-------2",2016-01-23,"20:16:00",2016-01-24,"04:33:00","MAW","11WD8BOXB1L----J","KW Boxberg","11WD8BOXB1L---R0","KW Boxberg Block R","630","B18","11",NA,"2016","01","23","01","24",2016-01-23 20:16:00,2016-01-24 04:33:00,0.345138888888889
"894","10YDE-VE-------2",2016-02-23,"21:15:00",2016-02-24,"04:59:00","MAW","11WD8JAEN1L----Z","KW Jänschwalde","11WD8JAEN1L---E5","KW Jänschwalde Block E","500","B18","0",NA,"2016","02","23","02","24",2016-02-23 21:15:00,2016-02-24 04:59:00,0.322222222222222
"895","10YDE-VE-------2",2016-03-09,"17:30:00",2016-03-10,"06:15:00","MAW","11WD8SCHK1L----O","Schkopau","11WD8SCHK1L---A2","Schkopau A","450","B18","0",NA,"2016","03","09","03","10",2016-03-09 17:30:00,2016-03-10 06:15:00,0.53125
"896","10YDE-VE-------2",2016-04-21,"12:00:00",2016-04-22,"22:00:00","MAW","11WD8SCHK1L----O","Schkopau","11WD8SCHK1L---B0","Schkopau B","450","B18","250",NA,"2016","04","21","04","22",2016-04-21 12:00:00,2016-04-22 22:00:00,1.41666666666667
"897","10YDE-VE-------2",2016-06-21,"08:45:00",2016-06-21,"14:15:00","MAW","11WD8SCHK1L----O","Schkopau","11WD8SCHK1L---B0","Schkopau B","450","B18","0",NA,"2016","06","21","06","21",2016-06-21 08:45:00,2016-06-21 14:15:00,0.229166666666667
"898","10YDE-VE-------2",2017-11-13,"09:15:00",2017-11-13,"10:15:00","MAW","11WD8SCHK1L----O","Schkopau","11WD8SCHK1L---A2","Schkopau A","450","B18","260.5","Other","2017","11","13","11","13",2017-11-13 09:15:00,2017-11-13 10:15:00,0.0416666666666667
"899","10YDE-VE-------2",2018-08-09,"14:30:00",2018-08-09,"17:15:00","MAW","11WD8SCHK1L----O","Schkopau","11WD8SCHK1L---A2","Schkopau A","450","B20","278.6","External Factors","2018","08","09","08","09",2018-08-09 14:30:00,2018-08-09 17:15:00,0.114583333333333
"900","10YDE-VE-------2",2019-04-08,"07:00:00",2019-04-08,"13:15:00","MAW","11WD8SCHK1L----O","Schkopau","11WD8SCHK1L---B0","Schkopau B","450","B18","300",NA,"2019","04","08","04","08",2019-04-08 07:00:00,2019-04-08 13:15:00,0.260416666666667
"901","10YDE-VE-------2",2019-07-02,"04:15:00",2019-07-04,"05:00:00","MAW","11WD8KLIN5X----0","HKW Klingenberg","11WD8KLIN5G--13E","HKW Klingenberg 1-3","164","B18","33","Other","2019","07","02","07","04",2019-07-02 04:15:00,2019-07-04 05:00:00,2.03125
"902","10YDE-VE-------2",2019-08-05,"08:00:00",2019-08-07,"12:00:00","MAW","11WD8SCHK1L----O","Schkopau","11WD8SCHK1L---B0","Schkopau B","450","B18","300",NA,"2019","08","05","08","07",2019-08-05 08:00:00,2019-08-07 12:00:00,2.16666666666667
"903","10YDE-VE-------2",2015-06-23,"16:00:00",2015-06-23,"17:14:00","MAW","11WD8MOOR1C----G","HKW Moorburg","11WD8MOOR1C---AV","HKW Moorburg Block A","800","B18","374","Other","2015","06","23","06","23",2015-06-23 16:00:00,2015-06-23 17:14:00,0.0513888888888889
"904","10YDE-VE-------2",2015-07-07,"16:00:00",2015-07-08,"02:00:00","MAW","11WD8SCHK1L----O","Schkopau","11WD8SCHK1L---B0","Schkopau B","450","B18","305","Other","2015","07","07","07","08",2015-07-07 16:00:00,2015-07-08 02:00:00,0.416666666666667
"905","10YDE-VE-------2",2015-07-22,"00:18:00",2015-07-22,"00:40:00","MAW","11WD8ROST1C---P5","Kraftwerk Rostock","11WD8ROST1C----K","Kraftwerk Rostock","514","B18","414",NA,"2015","07","22","07","22",2015-07-22 00:18:00,2015-07-22 00:40:00,0.0152777777777778
"906","10YDE-VE-------2",2015-08-11,"02:15:00",2015-08-11,"03:00:00","MAW","11WD8SCHK1L----O","Schkopau","11WD8SCHK1L---A2","Schkopau A","450","B18","300","Other","2015","08","11","08","11",2015-08-11 02:15:00,2015-08-11 03:00:00,0.03125
"907","10YDE-VE-------2",2015-08-28,"04:13:00",2015-08-28,"07:15:00","MAW","11WD8JAEN1L----Z","KW Jänschwalde","11WD8JAEN1L---D7","KW Jänschwalde Block D","500","B18","240",NA,"2015","08","28","08","28",2015-08-28 04:13:00,2015-08-28 07:15:00,0.126388888888889
"908","10YDE-VE-------2",2015-09-04,"10:15:00",2015-09-04,"18:00:00","MAW","11WD8REUW1C----4","HKW Reuter West","11WD8REUW1C---EB","HKW Reuter West Block E","282","B18","0",NA,"2015","09","04","09","04",2015-09-04 10:15:00,2015-09-04 18:00:00,0.322916666666667
"909","10YDE-VE-------2",2016-01-25,"07:20:00",2016-01-25,"08:59:00","MAW","11WD8JAEN1L----Z","KW Jänschwalde","11WD8JAEN1L---D7","KW Jänschwalde Block D","500","B18","245",NA,"2016","01","25","01","25",2016-01-25 07:20:00,2016-01-25 08:59:00,0.06875
"910","10YDE-VE-------2",2016-03-10,"06:15:00",2016-03-10,"06:30:00","MAW","11WD8SCHK1L----O","Schkopau","11WD8SCHK1L---A2","Schkopau A","450","B18","209.7",NA,"2016","03","10","03","10",2016-03-10 06:15:00,2016-03-10 06:30:00,0.0104166666666667
"911","10YDE-VE-------2",2016-06-21,"17:45:00",2016-06-21,"22:15:00","MAW","11WD8SCHK1L----O","Schkopau","11WD8SCHK1L---B0","Schkopau B","450","B18","0",NA,"2016","06","21","06","21",2016-06-21 17:45:00,2016-06-21 22:15:00,0.1875
"912","10YDE-VE-------2",2017-11-14,"07:15:00",2017-11-14,"09:45:00","MAW","11WD8SCHK1L----O","Schkopau","11WD8SCHK1L---B0","Schkopau B","450","B18","300","Other","2017","11","14","11","14",2017-11-14 07:15:00,2017-11-14 09:45:00,0.104166666666667
"913","10YDE-VE-------2",2019-07-02,"15:45:00",2019-07-02,"17:30:00","MAW","11WD8GOLD1H----6","PSW Goldisthal","11WD8GOLD1H---CH","PSW Goldisthal PSS C","265","B18","0",NA,"2019","07","02","07","02",2019-07-02 15:45:00,2019-07-02 17:30:00,0.0729166666666667
"914","10YDE-VE-------2",2019-08-05,"10:00:00",2019-08-05,"13:00:00","MAW","11WD8MITT5G----0","HKW Mitte","11WD8MITT5GGUD-8","HKW Mitte GUD","444","B18","167","Other","2019","08","05","08","05",2019-08-05 10:00:00,2019-08-05 13:00:00,0.125
"915","10YDE-VE-------2",2015-06-24,"05:15:00",2015-06-28,"06:00:00","MAW","11WD8MARK1H----7","PSW Markersbach","11WD8MARK1H---FC","PSW Markersbach PSS F","160","B18","0","Other","2015","06","24","06","28",2015-06-24 05:15:00,2015-06-28 06:00:00,4.03125
"916","10YDE-VE-------2",2015-07-22,"05:15:00",2015-07-22,"07:00:00","MAW","11WD8BOXB1L----J","KW Boxberg","11WD8BOXB1L---R0","KW Boxberg Block R","630","B18","481",NA,"2015","07","22","07","22",2015-07-22 05:15:00,2015-07-22 07:00:00,0.0729166666666667
"917","10YDE-VE-------2",2015-09-07,"03:30:00",2015-09-07,"04:45:00","MAW","11WD8SCHK1L----O","Schkopau","11WD8SCHK1L---A2","Schkopau A","450","B18","0",NA,"2015","09","07","09","07",2015-09-07 03:30:00,2015-09-07 04:45:00,0.0520833333333333
"918","10YDE-VE-------2",2016-06-21,"20:45:00",2016-06-21,"22:15:00","MAW","11WD8SCHK1L----O","Schkopau","11WD8SCHK1L---A2","Schkopau A","450","B18","250",NA,"2016","06","21","06","21",2016-06-21 20:45:00,2016-06-21 22:15:00,0.0625
"919","10YDE-VE-------2",2017-11-14,"07:15:00",2017-11-14,"09:45:00","MAW","11WD8SCHK1L----O","Schkopau","11WD8SCHK1L---A2","Schkopau A","450","B18","300","Other","2017","11","14","11","14",2017-11-14 07:15:00,2017-11-14 09:45:00,0.104166666666667
"920","10YDE-VE-------2",2018-08-09,"17:00:00",2018-08-09,"17:15:00","MAW","11WD8SCHK1L----O","Schkopau","11WD8SCHK1L---B0","Schkopau B","450","B20","278.3","External Factors","2018","08","09","08","09",2018-08-09 17:00:00,2018-08-09 17:15:00,0.0104166666666667
"921","10YDE-VE-------2",2018-12-07,"14:15:00",2018-12-07,"16:00:00","MAW","11WD8REUW1C----4","HKW Reuter West","11WD8REUW1C---DD","HKW Reuter West Block D","282","B18","0","Other","2018","12","07","12","07",2018-12-07 14:15:00,2018-12-07 16:00:00,0.0729166666666667
"922","10YDE-VE-------2",2019-07-02,"22:15:00",2019-07-02,"23:00:00","MAW","11WD8MITT5G----0","HKW Mitte","11WD8MITT5GGUD-8","HKW Mitte GUD","444","B18","145","Other","2019","07","02","07","02",2019-07-02 22:15:00,2019-07-02 23:00:00,0.03125
"923","10YDE-VE-------2",2019-08-06,"08:15:00",2019-08-06,"12:45:00","MAW","11WD8MITT5G----0","HKW Mitte","11WD8MITT5GGUD-8","HKW Mitte GUD","444","B18","177","Other","2019","08","06","08","06",2019-08-06 08:15:00,2019-08-06 12:45:00,0.1875
"924","10YDE-VE-------2",2015-07-22,"15:35:00",2015-07-27,"05:12:00","MAW","11WD8WED15C----Q","HKW Wedel","11WD8WED15C---2K","HKW Wedel Block 2","116","B18","0",NA,"2015","07","22","07","27",2015-07-22 15:35:00,2015-07-27 05:12:00,4.56736111111111
"925","10YDE-VE-------2",2015-09-07,"04:45:00",2015-09-07,"05:30:00","MAW","11WD8SCHK1L----O","Schkopau","11WD8SCHK1L---A2","Schkopau A","450","B18","0",NA,"2015","09","07","09","07",2015-09-07 04:45:00,2015-09-07 05:30:00,0.03125
"926","10YDE-VE-------2",2018-08-09,"17:15:00",2018-08-09,"18:30:00","MAW","11WD8SCHK1L----O","Schkopau","11WD8SCHK1L---A2","Schkopau A","450","B20","290.6","External Factors","2018","08","09","08","09",2018-08-09 17:15:00,2018-08-09 18:30:00,0.0520833333333333
"927","10YDE-VE-------2",2019-07-03,"02:30:00",2019-07-03,"03:00:00","MAW","11WD8MARK1H----7","PSW Markersbach","11WD8MARK1H---CI","PSW Markersbach PSS C","160","B18","0","Other","2019","07","03","07","03",2019-07-03 02:30:00,2019-07-03 03:00:00,0.0208333333333333
"928","10YDE-VE-------2",2015-07-08,"21:48:00",2015-07-11,"18:38:00","MAW","11WD8LIPD1L----P","KW Lippendorf","11WD8LIPD1L---R6","KW Lippendorf Block R","891","B18","0","Other","2015","07","08","07","11",2015-07-08 21:48:00,2015-07-11 18:38:00,2.86805555555556
"929","10YDE-VE-------2",2015-09-07,"04:58:00",2015-09-07,"07:00:00","MAW","11WD8LICH5G----1","HKW Lichterfelde","11WD8LICH5G---1Y","HKW Lichterfelde Block 1","144","B18","0",NA,"2015","09","07","09","07",2015-09-07 04:58:00,2015-09-07 07:00:00,0.0847222222222222
"930","10YDE-VE-------2",2016-06-22,"04:15:00",2016-06-22,"07:00:00","MAW","11WD8SCHK1L----O","Schkopau","11WD8SCHK1L---B0","Schkopau B","450","B18","300",NA,"2016","06","22","06","22",2016-06-22 04:15:00,2016-06-22 07:00:00,0.114583333333333
"931","10YDE-VE-------2",2018-08-09,"17:15:00",2018-08-09,"18:30:00","MAW","11WD8SCHK1L----O","Schkopau","11WD8SCHK1L---B0","Schkopau B","450","B20","290.8","External Factors","2018","08","09","08","09",2018-08-09 17:15:00,2018-08-09 18:30:00,0.0520833333333333
"932","10YDE-VE-------2",2019-07-03,"22:15:00",2019-07-04,"04:00:00","MAW","11WD8MITT5G----0","HKW Mitte","11WD8MITT5GGUD-8","HKW Mitte GUD","444","B18","117","Other","2019","07","03","07","04",2019-07-03 22:15:00,2019-07-04 04:00:00,0.239583333333333
"933","10YDE-VE-------2",2019-08-06,"22:15:00",2019-08-07,"22:00:00","MAW","11WD8KLIN5X----0","HKW Klingenberg","11WD8KLIN5G--13E","HKW Klingenberg 1-3","164","B18","18","Other","2019","08","06","08","07",2019-08-06 22:15:00,2019-08-07 22:00:00,0.989583333333333
"934","10YDE-VE-------2",2015-07-09,"02:00:00",2015-07-09,"19:59:00","MAW","11WD8SWPU1L----5","KW Schwarze Pumpe","11WD8SWPU1L---AK","KW Schwarze Pumpe Block A","755","B18","654","Other","2015","07","09","07","09",2015-07-09 02:00:00,2015-07-09 19:59:00,0.749305555555556
"935","10YDE-VE-------2",2015-07-27,"08:43:00",2015-07-27,"17:59:00","MAW","11WD8WED15C----Q","HKW Wedel","11WD8WED15C---2K","HKW Wedel Block 2","116","B18","0",NA,"2015","07","27","07","27",2015-07-27 08:43:00,2015-07-27 17:59:00,0.386111111111111
"936","10YDE-VE-------2",2015-09-07,"07:56:00",2015-09-07,"11:00:00","MAW","11WD8KLIN5X----0","HKW Klingenberg","11WD8KLIN5G--13E","HKW Klingenberg 1-3","164","B18","0",NA,"2015","09","07","09","07",2015-09-07 07:56:00,2015-09-07 11:00:00,0.127777777777778
"937","10YDE-VE-------2",2018-08-09,"18:45:00",2018-08-09,"19:00:00","MAW","11WD8SCHK1L----O","Schkopau","11WD8SCHK1L---B0","Schkopau B","450","B20","337.9","External Factors","2018","08","09","08","09",2018-08-09 18:45:00,2018-08-09 19:00:00,0.0104166666666667
"938","10YDE-VE-------2",2019-07-04,"09:30:00",2019-07-04,"22:00:00","MAW","11WD8KLIN5X----0","HKW Klingenberg","11WD8KLIN5G--13E","HKW Klingenberg 1-3","164","B18","18","Other","2019","07","04","07","04",2019-07-04 09:30:00,2019-07-04 22:00:00,0.520833333333333
"939","10YDE-VE-------2",2015-07-09,"12:15:00",2015-07-10,"21:59:00","MAW","11WD8BOXB1L----J","KW Boxberg","11WD8BOXB1L---Q2","KW Boxberg Block Q","840","B18","319",NA,"2015","07","09","07","10",2015-07-09 12:15:00,2015-07-10 21:59:00,1.40555555555556
"940","10YDE-VE-------2",2015-09-08,"05:45:00",2015-09-09,"04:01:00","MAW","11WD8TIEF5X----V","HKW Tiefstack","11WD8TIEF5C----9","HKW Tiefstack Block 2","189","B18","60",NA,"2015","09","08","09","09",2015-09-08 05:45:00,2015-09-09 04:01:00,0.927777777777778
"941","10YDE-VE-------2",2018-08-09,"18:45:00",2018-08-09,"19:00:00","MAW","11WD8SCHK1L----O","Schkopau","11WD8SCHK1L---A2","Schkopau A","450","B20","337.4","External Factors","2018","08","09","08","09",2018-08-09 18:45:00,2018-08-09 19:00:00,0.0104166666666667
"942","10YDE-VE-------2",2019-07-05,"18:45:00",2019-07-06,"22:00:00","MAW","11WD8KLIN5X----0","HKW Klingenberg","11WD8KLIN5G--13E","HKW Klingenberg 1-3","164","B18","19","Other","2019","07","05","07","06",2019-07-05 18:45:00,2019-07-06 22:00:00,1.13541666666667
"943","10YDE-VE-------2",2015-07-28,"21:00:00",2015-07-28,"23:00:00","MAW","11WD8SCHK1L----O","Schkopau","11WD8SCHK1L---B0","Schkopau B","450","B18","0",NA,"2015","07","28","07","28",2015-07-28 21:00:00,2015-07-28 23:00:00,0.0833333333333333
"944","10YDE-VE-------2",2015-09-08,"14:00:00",2015-09-08,"17:00:00","MAW","11WD8BALT3W---PS","Windpark Baltic 1 and 2","11WD8BALT3W----6","Windpark Baltic 1 and 2","336.3","B18","231.9",NA,"2015","09","08","09","08",2015-09-08 14:00:00,2015-09-08 17:00:00,0.125
"945","10YDE-VE-------2",2018-08-10,"01:15:00",2018-08-10,"02:00:00","MAW","11WD8MARK1H----7","PSW Markersbach","11WD8MARK1H---BK","PSW Markersbach PSS B","160","B18","0","Other","2018","08","10","08","10",2018-08-10 01:15:00,2018-08-10 02:00:00,0.03125
"946","10YDE-VE-------2",2019-07-07,"22:15:00",2019-07-08,"09:15:00","MAW","11WD8MITT5G----0","HKW Mitte","11WD8MITT5GGUD-8","HKW Mitte GUD","444","B18","113","Other","2019","07","07","07","08",2019-07-07 22:15:00,2019-07-08 09:15:00,0.458333333333333
"947","10YDE-VE-------2",2015-09-10,"05:34:00",2015-09-10,"10:59:00","MAW","11WD8MOOR1C----G","HKW Moorburg","11WD8MOOR1C---AV","HKW Moorburg Block A","800","B18","0",NA,"2015","09","10","09","10",2015-09-10 05:34:00,2015-09-10 10:59:00,0.225694444444444
"948","10YDE-VE-------2",2019-07-08,"16:30:00",2019-07-08,"18:00:00","MAW","11WD8MITT5G----0","HKW Mitte","11WD8MITT5GGUD-8","HKW Mitte GUD","444","B18","190","Other","2019","07","08","07","08",2019-07-08 16:30:00,2019-07-08 18:00:00,0.0625
"949","10YDE-VE-------2",2015-07-13,"03:15:00",2015-07-13,"06:00:00","MAW","11WD8ROST1C---P5","Kraftwerk Rostock","11WD8ROST1C----K","Kraftwerk Rostock","514","B18","314",NA,"2015","07","13","07","13",2015-07-13 03:15:00,2015-07-13 06:00:00,0.114583333333333
"950","10YDE-VE-------2",2015-09-12,"08:42:00",2015-09-12,"10:59:00","MAW","11WD8JAEN1L----Z","KW Jänschwalde","11WD8JAEN1L---AD","KW Jänschwalde Block A","500","B18","0","Other","2015","09","12","09","12",2015-09-12 08:42:00,2015-09-12 10:59:00,0.0951388888888889
"951","10YDE-VE-------2",2015-09-12,"08:43:00",2015-09-12,"10:59:00","MAW","11WD8JAEN1L----Z","KW Jänschwalde","11WD8JAEN1L---BB","KW Jänschwalde Block B","500","B18","0","Other","2015","09","12","09","12",2015-09-12 08:43:00,2015-09-12 10:59:00,0.0944444444444444
"952","10YDE-RWENET---I",2014-12-31,"23:00:00",2015-01-01,"00:10:00","MAW","11WD7NEUR-B-KW-B","Neurath","11WD7NEUR1B--G-I","Neurath G","1060","B18","740",NA,"2014","12","31","01","01",2014-12-31 23:00:00,2015-01-01 00:10:00,0.0486111111111111
"955","10YDE-RWENET---I",2015-06-01,"01:45:00",2015-08-10,"07:30:00","MAW","11WD7LUNE2S--KW8","Luenen","11WD7LUNE2S--7-2","LUENEN_7","324","B18","304",NA,"2015","06","01","08","10",2015-06-01 01:45:00,2015-08-10 07:30:00,70.2395833333333
"956","10YDE-RWENET---I",2015-08-24,"19:47:00",2015-09-01,"10:00:00","MAW","11WD7KWKN1GBL203","Knapsack 2","11WD7KWKN-20-EEW","Knapsack 2","426","B18","0",NA,"2015","08","24","09","01",2015-08-24 19:47:00,2015-09-01 10:00:00,7.59236111111111
"957","10YDE-RWENET---I",2015-09-08,"07:11:00",2018-02-26,"09:00:00","MAW","11WD7WALS1S--KW0","Walsum","11WD7WALS1S--10A","WALSUM_10","725","B18","685",NA,"2015","09","08","02","26",2015-09-08 07:11:00,2018-02-26 09:00:00,902.117361111111
"958","10YDE-RWENET---I",2018-12-10,"13:11:00",2019-11-07,"13:15:00","MAW","11WD7WALS1S--KW0","Walsum","11WD7WALS1S--10A","WALSUM_10","725","B18","700",NA,"2018","12","10","11","07",2018-12-10 13:11:00,2019-11-07 13:15:00,332.002777777778
"959","10YDE-RWENET---I",2015-01-17,"12:03:00",2015-01-19,"06:58:00","MAW","11WD7NIED-B-KW-5","Niederaußem","11WD7NIED1B--H-9","Niederaußem H","639","B18","0",NA,"2015","01","17","01","19",2015-01-17 12:03:00,2015-01-19 06:58:00,1.78819444444444
"960","10YDE-RWENET---I",2015-01-29,"15:54:00",2015-02-02,"14:00:00","MAW","11WD7WEST1S-KW-K","Westfalen","11WD7WEST5S--C-P","Westfalen C","250","B18","0",NA,"2015","01","29","02","02",2015-01-29 15:54:00,2015-02-02 14:00:00,3.92083333333333
"961","10YDE-RWENET---I",2015-02-06,"05:30:00",2015-02-28,"23:00:00","MAW","11WD7WALS1S--KW0","Walsum","11WD7WALS1S--10A","WALSUM_10","725","B18","700",NA,"2015","02","06","02","28",2015-02-06 05:30:00,2015-02-28 23:00:00,22.7291666666667
"962","10YDE-RWENET---I",2015-02-19,"12:00:00",2015-05-11,"09:30:00","MAW","11WD7WALS1S--KW0","Walsum","11WD7WALS1S--10A","WALSUM_10","725","B18","700",NA,"2015","02","19","05","11",2015-02-19 12:00:00,2015-05-11 09:30:00,80.8541666666667
"963","10YDE-RWENET---I",2015-05-08,"04:00:00",2015-05-24,"20:52:00","MAW","11WD7NIED-B-KW-5","Niederaußem","11WD7NIED1B--K-0","Niederaußem K (BoA 1)","924","B18","0",NA,"2015","05","08","05","24",2015-05-08 04:00:00,2015-05-24 20:52:00,16.7027777777778
"964","10YDE-RWENET---I",2015-05-29,"19:15:00",2015-05-31,"17:00:00","MAW","11WD7HERN2S--KWU","Herne","11WD7HERN2S-3--W","HERNE_3","280","B18","0",NA,"2015","05","29","05","31",2015-05-29 19:15:00,2015-05-31 17:00:00,1.90625
"965","10YDE-RWENET---I",2015-06-28,"10:00:00",2015-06-30,"10:45:00","MAW","11WD7VOLK5S--KWI","Voelklingen","11WD7VOLK5S-MKV2","VOELKLINGEN_MKV","179","B18","149",NA,"2015","06","28","06","30",2015-06-28 10:00:00,2015-06-30 10:45:00,2.03125
"966","10YDE-RWENET---I",2015-07-14,"21:34:00",2015-07-16,"17:00:00","MAW","11WD7NEUR-B-KW-B","Neurath","11WD7NEUR1B--B-X","Neurath B","294","B18","0",NA,"2015","07","14","07","16",2015-07-14 21:34:00,2015-07-16 17:00:00,1.80972222222222
"967","10YDE-RWENET---I",2015-07-27,"10:00:00",2015-08-05,"13:20:00","MAW","11WD7VOER1S--KWG","Kraftwerk Voerde","11WD7VOER1S--B-Z","Kraftwerk Voerde Block B","695","B18","595",NA,"2015","07","27","08","05",2015-07-27 10:00:00,2015-08-05 13:20:00,9.13888888888889
"968","10YDE-RWENET---I",2015-08-28,"07:15:00",2015-08-30,"10:15:00","MAW","11WD7HERN2S--KWU","Herne","11WD7HERN2S-3--W","HERNE_3","280","B18","180",NA,"2015","08","28","08","30",2015-08-28 07:15:00,2015-08-30 10:15:00,2.125
"969","10YDE-RWENET---I",2015-09-13,"19:02:00",2015-09-13,"20:11:00","MAW","11WD7NIED-B-KW-5","Niederaußem","11WD7NIED1B--K-0","Niederaußem K (BoA 1)","924","B18","565",NA,"2015","09","13","09","13",2015-09-13 19:02:00,2015-09-13 20:11:00,0.0479166666666667
"970","10YDE-RWENET---I",2015-09-28,"08:00:00",2015-09-28,"09:35:00","MAW","11WD4SWSW5HD7--F","Schluchsee","11WD4WEHR1HD7--M","Wehr","455","B18","227.5",NA,"2015","09","28","09","28",2015-09-28 08:00:00,2015-09-28 09:35:00,0.0659722222222222
"971","10YDE-RWENET---I",2015-10-08,"09:15:00",2015-10-18,"22:00:00","MAW","11WD7VOLK5S--KWI","Voelklingen","11WD7VOLK5S-MKV2","VOELKLINGEN_MKV","179","B18","178",NA,"2015","10","08","10","18",2015-10-08 09:15:00,2015-10-18 22:00:00,10.53125
"972","10YDE-RWENET---I",2015-10-15,"22:27:00",2015-11-03,"09:00:00","MAW","11WD7WEST1S-KW-K","Westfalen","11WD7WEST5S--C-P","Westfalen C","250","B18","0",NA,"2015","10","15","11","03",2015-10-15 22:27:00,2015-11-03 09:00:00,18.48125
"973","10YDE-RWENET---I",2015-11-07,"12:30:00",2015-11-17,"16:00:00","MAW","11WD7WEIH2S--KWV","Weiher","11WD7WEIH2S--C-A","WEIHER_C","656","B18","550.4",NA,"2015","11","07","11","17",2015-11-07 12:30:00,2015-11-17 16:00:00,10.1458333333333
"974","10YDE-RWENET---I",2015-12-08,"18:35:00",2015-12-13,"05:00:00","MAW","11WD7BERG1S--KWB","Bergkamen","11WD7BERG1S--A-X","BERGKAMEN_A","717","B18","677",NA,"2015","12","08","12","13",2015-12-08 18:35:00,2015-12-13 05:00:00,4.43402777777778
"975","10YDE-RWENET---I",2015-12-16,"07:25:00",2015-12-30,"08:32:00","MAW","11WD7WALS1S--KW0","Walsum","11WD7WALS5S--9-Y","WALSUM_9","370","B18","350",NA,"2015","12","16","12","30",2015-12-16 07:25:00,2015-12-30 08:32:00,14.0465277777778
"976","10YDE-RWENET---I",2015-12-31,"23:00:00",2016-09-19,"20:00:00","MAW","11WD7GERS-X-KW-C","Gersteinwerk","11WD7GERS-G-BLIY","Gersteinwerk I","410","B20","55","External Factors","2015","12","31","09","19",2015-12-31 23:00:00,2016-09-19 20:00:00,262.833333333333
