"","biddingZone_Domain.mRID","start_DateAndOrTime.date","start_DateAndOrTime.time","end_DateAndOrTime.date","end_DateAndOrTime.time","quantity_Measure_Unit.name","production_RegisteredResource.mRID","production_RegisteredResource.name","production_RegisteredResource.pSRType.powerSystemResources.mRID","production_RegisteredResource.pSRType.powerSystemResources.name","production_RegisteredResource.pSRType.powerSystemResources.nominalP","reas_c","quantity","reas_t","year","st.mon","st.d","end.mon","end.d","st.datetime","end.datetime","duration_days"
"20","10YDE-VE-------2",2016-03-12,"22:45:00",2016-03-13,"12:15:00","MAW","11WD8SCHK1L----O","Schkopau","11WD8SCHK1L---A2","Schkopau A","450","B18","0",NA,"2016","03","12","03","13",2016-03-12 22:45:00,2016-03-13 12:15:00,0.5625
"21","10YDE-VE-------2",2016-03-26,"23:00:00",2016-03-27,"04:00:00","MAW","11WD8MITT5G----0","HKW Mitte","11WD8MITT5GGUD-8","HKW Mitte GUD","444","B18","339","Other","2016","03","26","03","27",2016-03-26 23:00:00,2016-03-27 04:00:00,0.166666666666667
"22","10YDE-VE-------2",2016-04-25,"21:19:00",2016-04-26,"00:59:00","MAW","11WD8JAEN1L----Z","KW Jänschwalde","11WD8JAEN1L---AD","KW Jänschwalde Block A","500","B18","0",NA,"2016","04","25","04","26",2016-04-25 21:19:00,2016-04-26 00:59:00,0.152777777777778
"23","10YDE-VE-------2",2016-06-21,"22:30:00",2016-06-24,"14:15:00","MAW","11WD8SCHK1L----O","Schkopau","11WD8SCHK1L---A2","Schkopau A","450","B18","0",NA,"2016","06","21","06","24",2016-06-21 22:30:00,2016-06-24 14:15:00,2.65625
"24","10YDE-VE-------2",2016-08-07,"18:00:00",2016-08-09,"04:45:00","MAW","11WD8SCHK1L----O","Schkopau","11WD8SCHK1L---B0","Schkopau B","450","B18","300",NA,"2016","08","07","08","09",2016-08-07 18:00:00,2016-08-09 04:45:00,1.44791666666667
"25","10YDE-VE-------2",2016-09-28,"19:00:00",2016-10-20,"03:37:00","MAW","11WD8KLIN5X----0","HKW Klingenberg","11WD8KLIN5G--13E","HKW Klingenberg 1-3","164","B18","40","Other","2016","09","28","10","20",2016-09-28 19:00:00,2016-10-20 03:37:00,21.3590277777778
"26","10YDE-VE-------2",2016-12-16,"09:00:00",2016-12-23,"01:00:00","MAW","11WD8REUW1C----4","HKW Reuter West","11WD8REUW1C---EB","HKW Reuter West Block E","282","B18","0",NA,"2016","12","16","12","23",2016-12-16 09:00:00,2016-12-23 01:00:00,6.66666666666667
"27","10YDE-VE-------2",2017-01-05,"00:00:00",2017-01-05,"00:20:00","MAW","11WD8ROST1C---P5","Kraftwerk Rostock","11WD8ROST1C----K","Kraftwerk Rostock","514","B18","0",NA,"2017","01","05","01","05",2017-01-05 00:00:00,2017-01-05 00:20:00,0.0138888888888889
"28","10YDE-VE-------2",2017-01-20,"13:01:00",2017-01-20,"14:35:00","MAW","11WD8ROST1C---P5","Kraftwerk Rostock","11WD8ROST1C----K","Kraftwerk Rostock","514","B18","414",NA,"2017","01","20","01","20",2017-01-20 13:01:00,2017-01-20 14:35:00,0.0652777777777778
"29","10YDE-VE-------2",2017-01-31,"04:00:00",2017-02-04,"20:00:00","MAW","11WD8REUW1C----4","HKW Reuter West","11WD8REUW1C---DD","HKW Reuter West Block D","282","B18","177","Other","2017","01","31","02","04",2017-01-31 04:00:00,2017-02-04 20:00:00,4.66666666666667
"30","10YDE-VE-------2",2017-03-22,"06:45:00",2017-03-22,"08:30:00","MAW","11WD8LICH5G----1","HKW Lichterfelde","11WD8LICH5G---3U","HKW Lichterfelde Block 3","144","B18","0",NA,"2017","03","22","03","22",2017-03-22 06:45:00,2017-03-22 08:30:00,0.0729166666666667
"31","10YDE-VE-------2",2017-04-24,"15:45:00",2017-04-24,"19:15:00","MAW","11WD8SCHK1L----O","Schkopau","11WD8SCHK1L---B0","Schkopau B","450","B18","0",NA,"2017","04","24","04","24",2017-04-24 15:45:00,2017-04-24 19:15:00,0.145833333333333
"32","10YDE-VE-------2",2017-05-07,"19:15:00",2017-05-10,"18:00:00","MAW","11WD8SCHK1L----O","Schkopau","11WD8SCHK1L---A2","Schkopau A","450","B18","0",NA,"2017","05","07","05","10",2017-05-07 19:15:00,2017-05-10 18:00:00,2.94791666666667
"33","10YDE-VE-------2",2017-06-22,"01:55:00",2017-06-22,"03:15:00","MAW","11WD8ROST1C---P5","Kraftwerk Rostock","11WD8ROST1C----K","Kraftwerk Rostock","514","B18","364",NA,"2017","06","22","06","22",2017-06-22 01:55:00,2017-06-22 03:15:00,0.0555555555555556
"34","10YDE-VE-------2",2017-07-26,"04:30:00",2017-08-07,"06:30:00","MAW","11WD8MOOR1C----G","HKW Moorburg","11WD8MOOR1C---AV","HKW Moorburg Block A","800","B18","1",NA,"2017","07","26","08","07",2017-07-26 04:30:00,2017-08-07 06:30:00,12.0833333333333
"35","10YDE-VE-------2",2017-09-05,"05:45:00",2017-09-05,"06:45:00","MAW","11WD8SCHK1L----O","Schkopau","11WD8SCHK1L---B0","Schkopau B","450","B18","40",NA,"2017","09","05","09","05",2017-09-05 05:45:00,2017-09-05 06:45:00,0.0416666666666667
"36","10YDE-VE-------2",2017-09-28,"00:00:00",2017-12-31,"23:00:00","MAW","11WD8MARK1H----7","PSW Markersbach","11WD8MARK1H---DG","PSW Markersbach PSS D","160","B18","0",NA,"2017","09","28","12","31",2017-09-28 00:00:00,2017-12-31 23:00:00,95
"37","10YDE-VE-------2",2018-05-29,"10:30:00",2018-06-02,"13:00:00","MAW","11WD8ROST1C---P5","Kraftwerk Rostock","11WD8ROST1C----K","Kraftwerk Rostock","514","B18","0",NA,"2018","05","29","06","02",2018-05-29 10:30:00,2018-06-02 13:00:00,4.10416666666667
"38","10YDE-VE-------2",2018-06-15,"01:30:00",2018-06-15,"02:15:00","MAW","11WD8SCHK1L----O","Schkopau","11WD8SCHK1L---B0","Schkopau B","450","B18","350",NA,"2018","06","15","06","15",2018-06-15 01:30:00,2018-06-15 02:15:00,0.03125
"39","10YDE-VE-------2",2018-06-28,"06:00:00",2018-07-13,"22:00:00","MAW","11WD8REUT5X----M","HKW Reuter","11WD8REUT5X---CX","HKW Reuter Block C","124","B18","0",NA,"2018","06","28","07","13",2018-06-28 06:00:00,2018-07-13 22:00:00,15.6666666666667
"40","10YDE-VE-------2",2018-07-16,"15:00:00",2018-07-16,"22:00:00","MAW","11WD8MITT5G----0","HKW Mitte","11WD8MITT5GGUD-8","HKW Mitte GUD","444","B18","77","Other","2018","07","16","07","16",2018-07-16 15:00:00,2018-07-16 22:00:00,0.291666666666667
"41","10YDE-VE-------2",2018-07-25,"12:00:00",2018-07-30,"09:00:00","MAW","11WD8SCHK1L----O","Schkopau","11WD8SCHK1L---B0","Schkopau B","450","B20","350","External Factors","2018","07","25","07","30",2018-07-25 12:00:00,2018-07-30 09:00:00,4.875
